Image,Group,Condition,SubID,Threshold,SegAbbr,Grouping,Domain,SegVol,Mean,Median,StDev,Q1,Q3,Min,Max,ActVol,FAV,CoGx,CoGy,CoGz,sCoGx,sCoGy,sCoGz
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,FOTU,x_Cerebellum_C,CB,284.0,2.53,2.68,0.37,2.3,2.78,1.91,2.94,8,0.028,63.88,139.79,56.57,75.13,139.0,52.43
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,PYR,x_Cerebellum_D,CB,708.0,2.19,2.14,0.36,1.88,2.37,1.81,3.08,19,0.027,63.99,143.98,40.91,64.83,145.31,41.42
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,UVU,x_Cerebellum_F,CB,1999.0,2.62,2.48,0.77,1.94,2.94,1.83,5.15,33,0.017,64.44,142.95,35.67,69.3,143.22,36.1
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,NOD,x_Cerebellum_E,CB,572.0,2.33,2.15,0.36,2.06,2.67,1.85,3.0,19,0.033,63.87,135.14,36.01,60.5,136.09,34.88
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,SIM,x_Cerebellum_G,CB,292.0,2.82,2.48,0.82,2.29,3.11,1.9,4.3,8,0.027,63.36,133.97,60.26,56.25,135.41,62.92
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,onl,ww_fiber_bundle_A,WM,826.0,2.35,2.19,0.46,2.02,2.52,1.87,3.65,22,0.027,59.86,30.72,32.68,60.23,30.44,33.77
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,AON,a_Olfactory_H,OLF,3120.0,2.43,2.23,0.64,1.98,2.61,1.82,5.35,133,0.043,60.24,46.86,31.42,65.61,46.45,30.6
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,GPe,e_Striatum/pallidum_G,STR/PAL,1724.0,2.51,2.2,0.78,1.99,2.8,1.84,5.6,60,0.035,60.81,74.48,29.9,58.11,74.55,27.78
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,DG,c_Hippocampus_B,HIP,2398.0,2.45,2.23,0.63,2.01,2.61,1.82,4.31,86,0.036,62.86,99.3,43.01,63.38,97.56,46.23
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,COA,d_Amygdala_G,AMY,2861.0,2.49,2.18,0.74,2.0,2.69,1.82,6.15,91,0.032,63.2,89.86,13.69,67.97,87.66,13.49
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,AOB,a_Olfactory_F,OLF,622.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,60.32,38.82,51.24,0.0,0.0,0.0
spmT_Neg_s150_p05_d0546_c08.nii,Negative,Con1,1,1.81,SEZ,a_Olfactory_X,OLF,612.0,2.0,1.92,0.16,1.89,2.06,1.83,2.28,5,0.008,61.09,39.82,39.6,66.65,40.28,38.34
